Lp,Nazwa surowca,Energia [kJ/100g],Energia [kcal/100g],Tłuszcz [g],Kwasy tłuszczowe nasycone [g],Węglowodany [g],Cukry [g],Białko [g],Sól [g],Skład,Cukier,Tłuszcz kakaowy,Kakao w proszku o obniżonej zawartości tłuszczu,Mleko w proszku odtłuszczone,Mleko w proszku pełne,Tłuszcz mlekowy,Miazga kakaowa,Emulgator  (E322) ze słonecznika,Emulgator (E322) z soi,Emulgator (E322) z rzepaku,Emulgator (E492),Emulgator (E472c),Ekstrakt z wanilii,Frakcjonowany i całkowicie utwardzony tłuszcz roślinny (olej palmowy),Aromat,Serwatka w proszku (z mleka),"Tłuszcze i oleje roślinne nieutwardzone (shea, rzepakowy)",Laktoza (z mleka),Syrop glukozowo-fruktozowy,Bezwodny tłuszcz mleczny,Emulgator (E476),Skrobia ryżowa,Skrobia kukurydziana,Oleje roślinne (słonecznikowy i palmowy),Orzech laskowy,Pistacja,Mąka pszenna,Tłuszcz kokosowy,Gluten,Skorupiaki,Jaja,Ryby,Orzeszki ziemne,Soja,Mleko,Orzechy,Seler,Gorczyca,Sezam,Dwutlenek siarki i siarczyny,Łubin,Mięczaki,Cukier.1,Tłuszcz kakaowy.1,Kakao w proszku o obniżonej zawartości tłuszczu.1,Mleko w proszku odtłuszczone.1,Mleko w proszku pełne.1,Tłuszcz mlekowy.1,Miazga kakaowa.1,Emulgator  (E322) ze słonecznika.1,Emulgator (E322) z soi.1,Emulgator (E322) z rzepaku.1,Emulgator (E492).1,Emulgator (E472c).1,Ekstrakt z wanilii.1,Frakcjonowany i całkowicie utwardzony tłuszcz roślinny (olej palmowy).1,Aromat.1,Serwatka w proszku (z mleka).1,"Tłuszcze i oleje roślinne nieutwardzone (shea, rzepakowy).1",Laktoza (z mleka).1,bezwodny tłuszcz mleczny,Emulgator (E476).1,Skrobia ryżowa.1,Owoc,Skrobia kukurydziana.1,Oleje roślinne (słonecznikowy i palmowy).1,Orzech laskowy.1,Pistacja.1
1,ZAFIRO WHITE - polewa mleczna,2348,585,37,34.7,59.1,59.1,2.6,0.6,"cukier, całkowicie uwodorniony olej z ziaren palmy olejowej, 12–13% serwatka (z mleka) w proszku, 4–6% mleko pełne w proszku, emulgatory [<1% tristearynian sorbitolu (e 492), lecytyny słonecznikowej (e 322), mono- i diglicerydy kwasów tłuszczowych estryfikowane kwasem cytrynowym (e 472c)], aromat.",47.5,0,0,0,5,0,0,0.5,0,0,0.5,0.5,0,34,0.25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,może zawierać,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,"Francja, Dominikana, Holandia, Belgia, Niemcy, Włochy",,,,"Unia Europejska (Niemcy, Austria, Belgia, Dania, Hiszpania, Estonia, Finlandia, Francja, Węgry, Irlandia, Włochy, Łotwa, Litwa, Luksemburg, Holandia, Polska, Portugalia, Czechy, Szwecja)",,,"Rosja, Argentyna, Hiszpania",,,Indonezja,"Europa, Rosja",,"Indonezja, Malezja",Hiszpania,"Portugalia, Francja, Unia Europejska",,,,,,,,,,
2,ZAFIRO MILK - polewa mleczno kakaowa,2397,594,39.8,37.3,53.6,52.7,3.5,0.53,"cukier, całkowicie uwodorniony olej z ziaren palmy olejowej, serwatka (z mleka) w proszku, kakao w proszku o obniżonej zawartości tłuszczu, pełne mleko, w proszku, emulgatory: tristearynian sorbitolu (E492), lecytyny słonecznikowe (E322); aromat.",42,0,5,0,4,0,0,0.5,0,0,0.5,0,0,37,0.25,11,0,0,0,0,0,0,0,0,0,0,0,0,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,może zawierać,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,"Francja, Dominikana, Holandia, Belgia, Niemcy, Włochy",,"Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Wybrzeże Kości Słoniowej, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua-Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trynidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Unia Europejska (Niemcy, Austria, Belgia, Dania, Hiszpania, Estonia, Finlandia, Francja, Węgry, Irlandia, Włochy, Łotwa, Litwa, Luksemburg, Holandia, Polska, Portugalia, Czechy, Szwecja)",,,"Ukraina, Argentyna, Bułgaria, Węgry, Turcja",,,Indonezja,,,"Indonezja, Malezja","Hiszpania, Francja","Włochy, Hiszpania, Francja, Belgia, Portugalia",,,,,,,,,,
3,ZAFIRO CACAO - polewa kakaowa,2366,566,35.9,33.5,52.8,49.7,4.3,0.01,"cukier, tłuszcz roślinny frakcjonowany I całkowicie uwodorniony (olej z ziaren palmowych),
kakao o niskiej zawartości tłuszczu, emulgator (E-492, E-322 lecytyna slonecznikowa), aromaty.",49,0,17,0,0,0,0,1,0,0,1,0,0,33,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,może zawierać,może zawierać,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,"Francja, Dominikana, Holandia, Belgia, Niemcy",,"Wybrzeże Kości Słoniowej, Ghana, Nigeria, Kamerun, Indonezja, Malezja, Peru, Dominikana, Ekwador",,,,,"Rosja, Ukraina, Hiszpania",,,Malezja,,,"Indonezja, Malezja, Ekwador, Kolumbia, Wybrzeże Kości Słoniowej, Papua-Nowa Gwinea, Wyspy Salomona",Francja,,,,,,,,,,,
4,MILLANO CZEKOLADA BIAŁA 29%,2369,568,34.1,21.4,60.7,60.7,4.4,0.16,"cukier, tłuszcz kakaowy, mleko w proszku odtłuszczone, tłuszcz mleczny, emulgator: lecytyny, ekstrakt z wanilii.",53,29.5,0,13,0,4,0,0.45,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,może zawierać,nie zawiera,może zawierać,nie zawiera,może zawierać,może zawierać,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,UE,"Wybrzeże Kości Słoniowej, Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trinidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Polska, UE",,,,"Ukraina, Argentyna, Bułgaria, Węgry, Turcja, Rosja, Hiszpania","Grecja, Indie, Ukraina",,,,Francja,,,"Polska, UE",,,,,,,,,,
5,MILLANO CZEKOLADA 45%,2290,550,34.1,20.9,54.6,52.3,3.6,0.02,"cukier, miazga kakaowa, tłuszcz kakaowy, emulgator: lecytyny (z soi), naturalny aromat waniliowy.",52,18.5,0,0,0,0,28.5,0,0.68,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,może zawierać,nie zawiera,może zawierać,nie zawiera,może zawierać,zawiera,może zawierać,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,UE,"Wybrzeże Kości Słoniowej, Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trinidad, Uganda, Vanuatu, Wenezuela, Wietnam",,,,,"Wybrzeże Kości Słoniowej, Ghana, Ekwador, Nigeria, Kamerun, Brazylia, Kostaryka, Dominikana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trinidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Grecja, Indie, Ukraina",,,,Francja,,,,,,,,,,,,,
6,MILLANO CZEKOLADA MLECZNA 30%,2246,538,31.5,19.5,55.5,55,6.8,0.2,"cukier, mleko w proszku pełne, tłuszcz kakaowy, miazga kakaowa, emulgator: lecytyny (z soi), ekstrak z wanilii.",47,19.5,0,0,21,0,12,0,0.48,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,może zawierać,nie zawiera,może zawierać,nie zawiera,może zawierać,zawiera,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,UE,,"Wybrzeże Kości Słoniowej, Brazylia, Kamerun, Kostaryka, Dominikana, Ekwador, Ghana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trinidad, Uganda, Vanuatu, Wenezuela, Wietnam","Polska, UE",,UE,"Wybrzeże Kości Słoniowej, Ghana, Ekwador, Nigeria, Kamerun, Brazylia, Kostaryka, Dominikana, Grenada, Gwinea, Haiti, Honduras, Indie, Indonezja, Liberia, Madagaskar, Malezja, Meksyk, Nikaragua, Nigeria, Panama, Papua Nowa Gwinea, Peru, Sierra Leone, Wyspy Salomona, Tanzania, Togo, Trinidad, Uganda, Vanuatu, Wenezuela, Wietnam",,"Grecja, Indie, Ukraina",,,,Francja,,,,,,,,,,,,,
7,KREM MILK WIEPOL,2438,583,38,16,57,57,3.1,0.04,"cukier, tłuszcze i oleje roślinne nieutwardzone (shea, rzepakowy), laktoza (z mleka), mleko w proszku pełne, serwatka w proszku (z mleka), emulgator lecytyna rzepakowa, aromaty naturalne.",35,0,0,0,10,0,0,0,0,1,0,0,0,0,0.5,5,35,14,0,0,0,0,0,0,0,0,0,0,nie zawiera,nie zawiera,nie zawiera,nie zawiera,może zawierać,może zawierać,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,"Polska,  UE",,,,Polska,,,,,UE,,,,,"Polska, Francja, USA",Polska,"Holandia, Belgia, Polska, UE, Afryka Środkowa",Polska,,,,,,,,
8,Marshmallows,1366,321,0.5,0,76,62,4.6,0.02,"syrop glukozowo-fruktozowy, cukier, woda, żelatyna, skrobia kukurydziana, aromat, barwniki (E100, E131, E162).",32.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.93,0,0,0,0,0,0,0,0,0,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,może zawierać,nie zawiera,nie zawiera,,"Ghana, Wybrzeże Kości Słoniowej",,,,,,,,,,,,,,,,,,,,,,,,
9,Drażetki z mlecznej czekolady,2080,496,22,13,69,60,3.7,0.2,"cukier, tłuszcz kakaowy, mleko w proszku odtłuszczone, miazga kakaowa, bezwodny tłuszcz mleczny, emulgatory: lecytyny (z soi), lecytyny ze słonecznika, E 476; substancja żelująca: guma arabska; maltodekstryna, syrop glukozowy, skrobia ryżowa, barwniki: E 100, E 120, E 160a; substancje glazurujące: wosk pszczeli, wosk carnauba; aromat: wanilina.",70.18,13.65,0,7.7,0,0,3.85,0,0.48,0,0,0,0,0,0,0,0,0,0,2.45,0.48,0.43,0,0,0,0,0,0,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,zawiera,zawiera,może zawierać,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,"Polska, Niemcy",,,Polska,,,,,"Brazylia, Indie",,,,,,,,,,Polska,Holandia,UE,,,,,
10,Czarna porzeczka liofilizowana,1193,286,2.1,0.1,39,34,7.3,0.03,czarna porzeczka liofilizowana 100%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,nie zawiera,,,,,,,,,,,,,,,,,,,,,,Polska,,,,
